scenario,t,id,numero_veicoli,densita,velocita
osm.sumocfg,0,1021647991,0,0.0,19.44
osm.sumocfg,0,1178714446,1,0.013090375955597445,25.5
osm.sumocfg,0,1178714446-AddedOffRampEdge,0,0.0,25.0
osm.sumocfg,0,1178714447,0,0.0,39.44
osm.sumocfg,0,1219095754,0,0.0,19.44
osm.sumocfg,0,1219095754-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,0,1219095756#0,0,0.0,19.44
osm.sumocfg,0,1275720499,0,0.0,19.44
osm.sumocfg,0,1275720499-AddedOffRampEdge,0,0.0,19.44
osm.sumocfg,0,1275720500,0,0.0,19.44
osm.sumocfg,0,1280975206,0,0.0,22.22
osm.sumocfg,0,1280975207,0,0.0,22.22
osm.sumocfg,0,1280975209#0,0,0.0,22.22
osm.sumocfg,0,1280975210,0,0.0,25.0
osm.sumocfg,0,1280975211#0,0,0.0,19.44
osm.sumocfg,0,1280975212,0,0.0,22.22
osm.sumocfg,0,1280975213,0,0.0,19.44
osm.sumocfg,0,268118775,0,0.0,19.44
osm.sumocfg,0,268118775-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,0,268118776,0,0.0,19.44
osm.sumocfg,0,268118781,0,0.0,19.44
osm.sumocfg,0,270520028,0,0.0,25.0
osm.sumocfg,0,270520032,0,0.0,25.0
osm.sumocfg,0,4314451,0,0.0,19.44
osm.sumocfg,0,624243984,0,0.0,19.44
osm.sumocfg,0,704287262,0,0.0,22.22
osm.sumocfg,0,704560552,0,0.0,22.22
osm.sumocfg,0,704560552-AddedOnRampEdge,0,0.0,22.22
osm.sumocfg,0,839672235,0,0.0,25.0
osm.sumocfg,0,839672236,0,0.0,39.44
osm.sumocfg,0,908432642,0,0.0,19.44
osm.sumocfg,0,932385124,0,0.0,19.44
osm.sumocfg,0,932385130#1,0,0.0,39.44
osm.sumocfg,0,932385130#1-AddedOnRampEdge,0,0.0,39.44
osm.sumocfg,0,932385139,0,0.0,22.22
osm.sumocfg,0,932385142,0,0.0,25.0
osm.sumocfg,0,932385142-AddedOffRampEdge,0,0.0,25.0
osm.sumocfg,1,1021647991,0,0.0,19.44
osm.sumocfg,1,1178714446,1,0.013090375955597445,25.438113804231396
osm.sumocfg,1,1178714446-AddedOffRampEdge,0,0.0,25.0
osm.sumocfg,1,1178714447,0,0.0,39.44
osm.sumocfg,1,1219095754,0,0.0,19.44
osm.sumocfg,1,1219095754-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,1,1219095756#0,0,0.0,19.44
osm.sumocfg,1,1275720499,0,0.0,19.44
osm.sumocfg,1,1275720499-AddedOffRampEdge,0,0.0,19.44
osm.sumocfg,1,1275720500,0,0.0,19.44
osm.sumocfg,1,1280975206,0,0.0,22.22
osm.sumocfg,1,1280975207,0,0.0,22.22
osm.sumocfg,1,1280975209#0,0,0.0,22.22
osm.sumocfg,1,1280975210,0,0.0,25.0
osm.sumocfg,1,1280975211#0,0,0.0,19.44
osm.sumocfg,1,1280975212,0,0.0,22.22
osm.sumocfg,1,1280975213,0,0.0,19.44
osm.sumocfg,1,268118775,0,0.0,19.44
osm.sumocfg,1,268118775-AddedOnRampEdge,0,0.0,19.44
osm.sumocfg,1,268118776,0,0.0,19.44
osm.sumocfg,1,268118781,0,0.0,19.44
osm.sumocfg,1,270520028,0,0.0,25.0
osm.sumocfg,1,270520032,0,0.0,25.0
osm.sumocfg,1,4314451,0,0.0,19.44
osm.sumocfg,1,624243984,0,0.0,19.44
osm.sumocfg,1,704287262,0,0.0,22.22
osm.sumocfg,1,704560552,0,0.0,22.22
osm.sumocfg,1,704560552-AddedOnRampEdge,0,0.0,22.22
